flight_id,precipitation,wind,dep_delay
U27832-371656,Light,Calm,10
FR2352-356377,Dry,Breezy,5
FR1929-128577,Dry,Calm,1
U21426-673668,Light,Breezy,3
FR9064-507661,Light,Calm,0
BA2566-921192,Dry,Breezy,9
EI2743-778525,Dry,VeryWindy,36
BA8964-773106,Light,Calm,1
FR3992-636358,Dry,Breezy,2
U28088-639686,Moderate,Calm,1
EI2085-099393,Dry,Windy,0
U24716-256959,Dry,Calm,7
BA5915-671443,Heavy,Calm,0
EI431-592731,Light,Calm,0
U28800-481797,Light,Breezy,45
U23208-065312,Dry,Windy,23
FR2869-706003,Light,Windy,19
EI6945-328658,Dry,Windy,0
FR3544-947255,Dry,Windy,35
BA4715-626275,Dry,VeryWindy,34
U2139-131648,Light,Calm,3
BA2414-285787,Dry,Breezy,1
EI3846-262131,Dry,Breezy,5
BA6254-203945,Dry,Calm,6
BA4043-320003,Heavy,Calm,7
EI8600-519916,Light,Windy,18
EI5272-955248,Light,Breezy,15
FR4909-834818,Light,Breezy,2
EI3249-377777,Light,Breezy,2
BA6534-403542,Dry,Breezy,0
U29366-115478,Light,VeryWindy,41
EI2825-258213,Dry,VeryWindy,2
BA1996-384928,Moderate,Windy,5
U24001-496665,Moderate,Calm,4
U25333-884708,Dry,Windy,4
FR2254-969302,Heavy,Calm,0
FR2936-086181,Moderate,Breezy,23
EI9967-983733,Dry,VeryWindy,1
BA8117-739145,Dry,Windy,12
FR3992-164237,Dry,Calm,0
EI5330-294931,Moderate,Calm,1
U26913-665607,Light,Windy,44
EI8123-062266,Dry,Windy,33
FR2803-473273,Light,Windy,0
EI5143-908860,Dry,Breezy,8
U22057-738224,Light,Calm,20
U23569-012711,Dry,Windy,12
BA2052-445320,Dry,Calm,29
BA7903-704706,Dry,Calm,0
U24944-633435,Light,Windy,3
U25633-538133,Light,Calm,0
U22181-972310,Light,Calm,14
BA4747-691572,Dry,Windy,0
EI1475-879793,Light,Windy,4
EI8370-106492,Moderate,Breezy,4
U27104-677574,Dry,Breezy,6
FR4574-566031,Dry,Calm,4
FR6341-828390,Dry,VeryWindy,6
U24288-406401,Dry,Breezy,4
FR3758-952884,Dry,Breezy,17
U21079-929890,Heavy,Calm,6
U24118-343556,Moderate,Calm,15
BA7314-914745,Light,Calm,9
FR9004-655258,Dry,Calm,1
BA9948-771577,Dry,Breezy,8
U28888-203235,Moderate,Calm,5
FR6170-608436,Dry,Breezy,6
BA8053-943724,Dry,Windy,33
EI3321-604831,Dry,Calm,4
EI3699-872552,Dry,Calm,3
U21731-232818,Dry,Windy,4
FR2354-091402,Dry,Breezy,0
FR1826-458437,Dry,Breezy,4
BA6981-212389,Light,Calm,0
EI9510-605730,Dry,Breezy,0
EI3748-306298,Dry,VeryWindy,0
BA0299-822915,Dry,Breezy,0
BA0323-210499,Moderate,Breezy,0
FR9072-006955,Dry,Windy,54
U25893-809364,Dry,Calm,6
FR8721-136927,Dry,Calm,9
BA6736-022543,Dry,Windy,4
BA7334-549300,Dry,Breezy,9
FR0510-960978,Dry,Breezy,8
EI7613-197072,Dry,Windy,3
EI200-195707,Dry,Calm,6
FR7073-180293,Dry,Breezy,7
BA8990-897433,Heavy,Breezy,1
EI1059-130615,Dry,Breezy,0
FR7308-288378,Dry,Calm,0
U22200-415963,Heavy,Breezy,0
U24838-928480,Moderate,Calm,37
BA8131-851053,Dry,Calm,5
BA6429-178343,Dry,Breezy,0
FR2934-431409,Dry,Calm,3
FR6346-580228,Heavy,Windy,16
EI6242-233513,Heavy,Breezy,6
FR7475-589022,Heavy,Calm,5
FR2630-360064,Dry,Calm,6
EI2536-093159,Heavy,Calm,0
EI3821-964740,Dry,Calm,6
FR5504-093600,Dry,Breezy,3
FR6089-260268,Light,Breezy,8
BA9606-069696,Light,Breezy,0
U29414-420187,Light,Windy,21
FR1618-976793,Light,Calm,5
EI4199-753351,Dry,Breezy,2
EI1846-317658,Moderate,Breezy,2
FR6641-027989,Light,Calm,5
EI9211-274670,Light,Calm,13
FR9178-314009,Moderate,Breezy,25
BA2508-265182,Light,Breezy,3
U24009-159908,Light,Breezy,11
EI9696-252040,Moderate,Breezy,1
FR3561-570959,Dry,Breezy,28
BA7345-890676,Dry,Windy,7
BA4243-187188,Light,Breezy,1
EI5484-133861,Dry,Windy,5
EI1531-537994,Dry,Calm,0
BA5077-159989,Dry,Breezy,3
BA6745-792895,Moderate,Breezy,0
EI6504-055616,Heavy,Calm,8
EI4289-943796,Moderate,Breezy,6
U20276-068620,Moderate,Windy,33
EI4898-177037,Light,Windy,4
EI7475-920778,Light,VeryWindy,0
BA4618-393932,Light,Breezy,4
BA5711-395136,Dry,VeryWindy,2
FR2003-205567,Light,Calm,0
EI7362-148140,Dry,Calm,2
EI1987-265706,Heavy,Breezy,7
EI9268-531119,Dry,Windy,1
U21511-223213,Dry,Breezy,2
BA7390-253211,Light,Calm,10
EI0512-769934,Dry,Calm,0
U25327-891878,Dry,Windy,25
U20415-984924,Dry,Windy,15
FR1703-036988,Dry,Breezy,0
FR5603-591262,Dry,Breezy,6
EI5482-052062,Light,Calm,1
FR1301-841815,Dry,Breezy,1
BA5272-261004,Dry,Breezy,3
EI3425-917692,Dry,Windy,6
U24634-040075,Light,Breezy,0
BA0803-478113,Light,Calm,0
FR3250-775955,Light,Windy,0
FR4452-279901,Moderate,Breezy,30
FR4292-009990,Dry,Breezy,15
U25792-298304,Light,Windy,0
FR4909-890492,Light,Windy,18
EI5728-861582,Dry,Calm,3
EI874-556998,Dry,Calm,1
EI2654-410559,Light,Windy,1
U28448-960927,Light,Windy,9
BA7689-226516,Moderate,Calm,4
EI4954-861999,Dry,Breezy,13
U27460-261599,Dry,Calm,0
FR6600-701302,Light,Calm,1
EI9302-202889,Dry,Breezy,7
U23275-913584,Light,Calm,7
BA1392-821559,Dry,Windy,10
EI6447-883012,Dry,Breezy,0
BA9674-935942,Light,Windy,7
FR9302-457579,Dry,Calm,1
EI5691-757017,Light,Breezy,11
U25576-608972,Light,Calm,0
FR7321-381637,Dry,Breezy,52
EI8996-202216,Dry,Windy,0
BA2525-074506,Moderate,Windy,26
FR2891-440218,Dry,Calm,11
FR1423-009808,Dry,Calm,32
FR5977-770269,Dry,Windy,0
FR2332-644116,Dry,Breezy,6
EI3964-301798,Light,Calm,4
EI9436-882816,Moderate,Breezy,0
U28248-878199,Moderate,Breezy,0
EI0347-085772,Light,Windy,6
EI8865-080462,Dry,VeryWindy,2
U27359-296775,Dry,Windy,10
FR0382-104646,Dry,Breezy,15
EI5139-437516,Dry,Breezy,0
BA6477-972034,Dry,Calm,0
EI2593-308233,Light,Breezy,9
EI3161-285422,Moderate,Windy,3
U24712-968591,Light,Calm,22
BA3101-383449,Dry,Calm,6
EI5854-806382,Dry,Breezy,4
U22012-374628,Light,VeryWindy,10
FR4334-323803,Heavy,Windy,29
BA2136-453168,Dry,VeryWindy,5
BA8318-671689,Dry,VeryWindy,8
BA8981-435782,Dry,Windy,0
U24461-031330,Dry,Breezy,23
FR2267-951803,Dry,Calm,3
U22833-327961,Moderate,Calm,25
BA6856-747269,Dry,Windy,4
FR4172-237950,Dry,Breezy,2
EI1005-110371,Dry,Windy,8
EI8789-727869,Dry,Calm,5
FR2047-929033,Light,Calm,0
FR8708-372057,Dry,Calm,2
FR7987-903314,Light,Breezy,45
BA2817-408156,Dry,Breezy,0
EI8277-331926,Moderate,Windy,38
EI1804-181529,Heavy,Windy,15
U29666-966312,Dry,Breezy,34
U22465-270405,Light,Breezy,4
BA5557-295995,Light,Windy,5
BA3492-541594,Dry,Windy,2
U22596-660115,Moderate,Breezy,8
BA2640-506531,Light,Breezy,43
EI2496-207544,Dry,Breezy,2
U25069-602994,Dry,Breezy,6
U20640-649873,Moderate,Breezy,0
U23453-538339,Dry,Breezy,5
U20036-712771,Dry,Breezy,3
BA1493-448883,Dry,Breezy,4
FR8317-715211,Light,VeryWindy,10
BA1598-239509,Dry,Calm,0
BA8291-436989,Dry,Windy,0
FR1363-920185,Dry,Calm,6
U27333-697751,Light,Calm,4
BA2509-040015,Moderate,Breezy,7
U21829-038305,Moderate,Windy,20
BA1095-259590,Light,Breezy,1
EI9797-537939,Moderate,Breezy,9
FR6585-484679,Light,Calm,4
BA0432-669978,Dry,Windy,5
EI6664-843705,Dry,Breezy,5
FR7565-339485,Light,Windy,4
BA7478-576473,Dry,Windy,0
U20457-374775,Light,Windy,15
BA5120-037556,Light,Breezy,4
EI5320-419849,Dry,Calm,0
FR7389-581967,Dry,Breezy,4
FR9117-131184,Moderate,Breezy,37
FR8863-329112,Dry,Calm,1
U2108-284954,Dry,Breezy,1
EI7144-173887,Dry,Breezy,9
U26465-724507,Moderate,Breezy,3
U20240-592642,Dry,VeryWindy,10
BA9992-003356,Dry,Calm,0
FR8752-159972,Light,VeryWindy,9
U25049-068864,Dry,Breezy,34
BA247-504179,Moderate,Windy,0
BA1012-952162,Dry,Breezy,1
FR7452-509655,Light,Calm,2
EI2114-324222,Light,Windy,1
BA1237-515370,Heavy,Breezy,0
FR1896-628379,Dry,Calm,3
EI7848-873658,Dry,Breezy,8
U27399-722457,Moderate,Calm,9
EI2584-042683,Dry,Calm,22
U21165-086252,Light,Calm,3
BA6672-598764,Light,Calm,3
EI8641-003152,Light,Calm,6
EI2812-644928,Dry,Breezy,31
BA5841-488233,Light,Breezy,19
U28965-415164,Dry,VeryWindy,5
BA5521-278592,Light,Breezy,9
U21219-348892,Dry,Windy,2
BA3254-458534,Dry,Windy,19
BA2337-115645,Dry,Breezy,4
U20840-398574,Light,Breezy,9
EI2218-352401,Light,Breezy,39
EI7599-201301,Light,Calm,2
EI2268-249856,Dry,Calm,0
BA2861-725423,Dry,Windy,3
EI4958-110784,Moderate,Calm,2
EI351-905512,Dry,Breezy,0
U22216-244501,Dry,Windy,4
FR2350-689480,Light,Windy,20
BA1788-465195,Dry,Windy,3
BA2616-288210,Light,Breezy,0
BA2316-523008,Moderate,Calm,0
U26445-902369,Dry,Windy,1
U22261-280624,Moderate,Windy,51
FR995-069595,Light,Breezy,4
FR8588-810196,Moderate,Windy,2
BA0995-366896,Dry,Calm,30
BA3277-637574,Light,Breezy,3
EI1090-289481,Heavy,Windy,24
BA4309-590053,Dry,Windy,0
FR1274-537171,Dry,Breezy,1
U28389-953591,Dry,Calm,37
EI7277-999430,Dry,Breezy,4
BA5844-537929,Dry,Calm,7
BA7620-142308,Dry,Calm,10
EI6442-805553,Dry,Calm,6
U23921-471832,Dry,Windy,30
EI9951-525754,Dry,Breezy,16
FR019-980345,Dry,Breezy,0
U21325-165072,Dry,Windy,1
U22820-071834,Dry,Breezy,3
BA0896-562870,Dry,VeryWindy,31
EI3844-645977,Dry,VeryWindy,0
EI8232-149949,Dry,Calm,4
U21741-326271,Moderate,Calm,32
EI7278-873724,Dry,Breezy,23
U24548-359573,Dry,Calm,23
EI6305-020846,Moderate,Calm,1
BA2524-009593,Heavy,Calm,5
U24922-820865,Moderate,Calm,4
BA3645-931087,Dry,Calm,1
EI8188-745533,Moderate,Calm,7
BA1573-365533,Dry,Calm,8
BA4935-114003,Light,Breezy,3
BA1202-783415,Dry,Breezy,7
FR2337-522550,Light,VeryWindy,29
U26800-215181,Moderate,Windy,29
EI8303-160211,Light,Breezy,4
EI0350-912362,Dry,Breezy,1
BA1627-594803,Light,Breezy,8
U23562-658627,Light,Calm,14
EI8668-161810,Light,Calm,2
BA9930-189936,Dry,Windy,0
U20997-880054,Dry,Windy,3
EI3258-763191,Light,Breezy,0
FR6370-769086,Dry,Windy,0
U26434-404523,Moderate,Windy,40
FR3416-503208,Dry,Breezy,21
BA0102-744773,Light,Breezy,9
U26035-743175,Light,Breezy,21
FR6360-471741,Dry,Windy,0
FR1083-530899,Dry,Breezy,42
BA5154-890345,Dry,Breezy,10
BA7255-627107,Light,Breezy,0
EI7054-215386,Heavy,Breezy,0
U24716-817912,Light,Breezy,0
BA9023-052683,Light,Breezy,4
FR9702-585351,Moderate,Breezy,8
EI3003-220953,Light,Breezy,3
U22906-887759,Dry,Calm,4
BA8790-934453,Moderate,Breezy,0
FR9335-603107,Light,Windy,4
FR8374-986672,Moderate,Windy,7
FR4058-462394,Light,Calm,23
U24421-664330,Light,Calm,42
EI7448-764202,Dry,Breezy,0
FR7381-589023,Dry,Calm,6
U28505-665134,Light,Windy,47
FR6575-464244,Dry,Calm,0
EI5484-124737,Light,Calm,6
BA3323-690680,Heavy,Calm,0
FR4640-109249,Light,Calm,2
EI303-616923,Moderate,Calm,23
EI5788-559593,Dry,Windy,3
U26706-163560,Moderate,Breezy,22
FR1108-175609,Light,Calm,6
FR0570-011309,Heavy,Calm,39
EI4615-434391,Light,Windy,6
BA3488-631584,Dry,Calm,9
U27590-780630,Dry,Windy,4
BA2248-558604,Dry,Breezy,8
FR9016-559481,Dry,Calm,0
BA4075-198411,Dry,Breezy,32
FR2285-350353,Dry,Breezy,6
EI5701-876573,Dry,Windy,5
EI5193-597700,Dry,Calm,8
FR1548-738921,Light,Calm,30
U24192-158368,Light,Windy,0
FR8880-135765,Dry,Calm,19
BA3263-701436,Moderate,Calm,4
EI3483-477593,Dry,Breezy,0
U2785-808329,Dry,Calm,3
FR2104-540606,Dry,Calm,5
U23458-868493,Light,Windy,2
FR8444-710653,Dry,Calm,30
EI7006-717761,Moderate,Windy,4
EI8410-838857,Moderate,Calm,5
EI1683-117419,Dry,Breezy,0
U24684-524183,Light,Breezy,4
BA1395-202164,Dry,Calm,7
BA4341-593650,Dry,Breezy,2
U25685-096276,Dry,Breezy,15
EI9142-173789,Light,Windy,5
FR7781-039857,Light,Breezy,6
FR9896-814166,Heavy,Windy,0
BA1740-156350,Moderate,Breezy,5
FR1736-166954,Heavy,Calm,14
U25008-224316,Light,Calm,26
FR0432-779277,Dry,Calm,0
EI8705-287239,Light,Breezy,26
U26928-273366,Light,Windy,0
BA1810-423962,Moderate,VeryWindy,11
FR7604-764651,Moderate,Calm,1
EI365-148103,Dry,Windy,3
EI544-597648,Heavy,Breezy,0
BA3931-598082,Dry,VeryWindy,2
EI1662-900796,Dry,Breezy,0
U21629-819816,Light,Calm,2
U25296-765953,Dry,Calm,0
FR7469-241537,Dry,Breezy,6
EI9232-153049,Light,Calm,0
U20824-099853,Light,Calm,1
EI1936-352485,Dry,Windy,35
BA3370-632995,Dry,Breezy,4
EI6134-450291,Heavy,Windy,21
U22971-788336,Light,Breezy,0
U21790-917989,Dry,Windy,0
FR6220-037695,Light,Calm,38
EI4101-582069,Dry,Calm,7
BA7913-705663,Dry,Calm,0
BA3610-527849,Dry,Windy,38
FR8121-374642,Dry,Windy,0
BA9875-800823,Dry,Breezy,4
EI5312-976830,Dry,Breezy,2
FR1451-113271,Light,Breezy,2
FR4492-424833,Light,Calm,1
EI5898-360854,Dry,Calm,0
EI0472-573476,Dry,Windy,6
BA2205-497579,Heavy,VeryWindy,12
U22582-975985,Dry,Windy,24
EI2529-329683,Light,Windy,2
EI2019-577154,Dry,Windy,7
EI7795-165002,Dry,Windy,27
U29583-463922,Dry,Breezy,0
FR1034-328890,Dry,Breezy,0
U27702-785679,Dry,VeryWindy,15
FR3128-902271,Dry,Calm,10
U25807-759232,Light,VeryWindy,0
U25835-391385,Dry,Windy,27
FR5227-663930,Light,Windy,8
BA9389-577432,Dry,Windy,2
BA809-047653,Dry,Breezy,1
FR4634-299639,Moderate,Calm,15
FR8517-923139,Dry,Calm,25
U2711-905431,Moderate,Breezy,5
FR3185-087457,Light,Windy,0
U28108-932538,Light,Windy,4
BA8688-484258,Light,Calm,25
BA1013-847514,Heavy,Breezy,0
BA499-110416,Dry,Calm,6
U21928-705367,Dry,Breezy,1
FR0316-500694,Dry,Calm,2
BA6418-649242,Moderate,Breezy,3
BA7205-478209,Light,Calm,5
FR3150-927520,Dry,Calm,47
U23367-406597,Heavy,Calm,6
U25091-013833,Dry,Windy,4
FR5624-237752,Dry,Calm,7
FR8766-820511,Dry,Calm,38
BA7297-764527,Dry,Calm,7
EI9445-080460,Moderate,Calm,5
BA9258-978837,Dry,Calm,7
BA8744-556877,Moderate,Calm,5
FR9477-395727,Dry,Windy,3
BA6177-668163,Dry,Windy,2
EI7614-580931,Dry,Breezy,15
U23307-661210,Moderate,Breezy,4
BA3482-215509,Dry,Breezy,3
EI2843-269931,Moderate,Windy,3
U23999-773685,Dry,Windy,15
FR6244-266655,Moderate,Windy,6
FR7668-841399,Moderate,Breezy,0
EI0933-946684,Dry,Calm,4
U21041-318201,Light,Breezy,6
EI0613-039817,Moderate,Breezy,3
U24835-862384,Dry,Windy,11
FR4803-173946,Moderate,Breezy,32
EI2466-167474,Light,Calm,0
BA520-346416,Dry,Calm,8
FR943-806026,Heavy,Windy,28
EI2209-238272,Heavy,Breezy,2
U23384-784525,Dry,Calm,5
BA4673-272938,Light,Windy,0
EI7322-706082,Dry,Calm,9
BA4954-739431,Light,Calm,0
FR5749-613992,Dry,Breezy,5
BA3960-431953,Light,Breezy,6
EI6693-962960,Dry,Windy,19
U23896-292646,Moderate,Windy,31
BA9738-632023,Dry,Calm,0
U28895-105581,Dry,Breezy,5
BA3122-699784,Dry,Breezy,4
U28634-508473,Dry,Windy,42
EI0331-395896,Dry,Windy,7
BA2105-826481,Light,Calm,5
FR7905-204308,Moderate,Breezy,3
BA2250-121815,Dry,VeryWindy,34
EI3767-818613,Dry,Windy,0
FR7211-086133,Dry,Calm,5
U22165-414929,Dry,Breezy,10
U22271-714915,Dry,Calm,12
U25629-149175,Dry,VeryWindy,0
EI9453-811029,Dry,Windy,5
U29649-707523,Light,Windy,32
FR4685-043078,Moderate,Calm,11
EI940-621879,Dry,Calm,5
EI8637-074545,Light,Breezy,19
BA8308-200511,Dry,Breezy,9
U23288-527291,Dry,Breezy,28
EI2620-496805,Dry,Breezy,0
U27597-647286,Moderate,Windy,35
FR4590-301325,Light,Windy,25
FR6854-052580,Dry,Windy,0
U26977-524448,Light,Breezy,0
FR1034-492773,Dry,Windy,1
BA5533-061376,Dry,Windy,3
BA641-966952,Heavy,Breezy,43
U24171-587452,Light,Breezy,57
EI3123-038677,Moderate,Breezy,0
U22626-990053,Dry,Breezy,7
U20589-515003,Dry,Windy,22
U21156-956050,Dry,Breezy,0
BA1892-688713,Dry,Windy,5
EI0391-644266,Dry,VeryWindy,23
EI4474-102056,Dry,Windy,3
BA8264-045038,Dry,Calm,8
BA7971-482980,Light,Windy,4
EI3444-070195,Dry,Calm,0
U29067-038604,Dry,Windy,2
FR2314-074439,Moderate,Breezy,6
FR1199-008467,Dry,Calm,9
BA6806-275817,Dry,VeryWindy,24
EI8831-257603,Dry,VeryWindy,7
U23656-939889,Dry,Breezy,0
FR4121-676652,Dry,Breezy,31
U22018-026192,Dry,Calm,9
BA4030-439944,Moderate,Breezy,20
EI164-916511,Dry,Windy,22
BA5258-606338,Dry,Breezy,6
BA9255-841212,Dry,Calm,5
FR019-917062,Light,Calm,27
FR7728-061625,Moderate,Calm,37
EI9370-595144,Moderate,Calm,0
U26933-102990,Dry,Breezy,7
U25219-006921,Moderate,Windy,18
U26081-850116,Dry,Windy,5
BA4674-965326,Heavy,Calm,25
BA4423-210393,Dry,Breezy,2
FR5265-407188,Moderate,Calm,4
U23626-269640,Dry,Breezy,0
U26812-590223,Moderate,Breezy,15
U20231-394289,Dry,Windy,35
BA9274-545699,Moderate,Breezy,10
U22935-685192,Dry,Windy,0
EI1606-793451,Dry,Windy,35
U21101-054147,Light,Breezy,1
FR6656-681651,Dry,Breezy,3
BA3519-285177,Light,Windy,1
U27967-169073,Light,Calm,0
EI2826-152761,Dry,Windy,43
EI1844-740217,Dry,VeryWindy,6
BA5172-812227,Light,Calm,4
U20176-415532,Moderate,Windy,15
U21150-245409,Moderate,Calm,0
FR2010-116456,Dry,Calm,5
U25666-594292,Moderate,Calm,0
FR3905-697250,Moderate,Windy,32
EI8275-730321,Light,Breezy,3
FR786-765644,Dry,Windy,26
FR4316-305706,Dry,Breezy,8
U23069-624083,Dry,Calm,0
EI6654-112399,Dry,Breezy,1
U2948-504913,Light,Calm,0
FR1410-384129,Dry,Calm,6
FR1490-012711,Dry,Windy,0
EI7079-376459,Light,VeryWindy,27
BA9102-666730,Dry,Calm,0
EI1613-179712,Moderate,Breezy,9
