,flight_id,precipitation,wind,dep_delay,flight_date,sched_dep_time,sched_arr_time,carrier_code,carrier,flight_number,origin,origin_name,origin_city,origin_country,dest,dest_name,dest_city,dest_country,distance_km,aircraft_type
37,FR8358-406291,Dry,Breezy,8,2024-12-30,18:35,19:34,FR,Ryanair,FR8358,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Widebody
38,BA8506-980465,Dry,Windy,3,2024-01-11,04:15,05:15,BA,British Airways,BA8506,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Widebody
39,U21212-000430,Dry,Windy,7,2024-07-06,16:25,16:49,U2,easyJet,U21212,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
40,U27181-797748,Heavy,Breezy,7,2024-01-18,15:55,17:04,U2,easyJet,U27181,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Regional
41,U22643-553296,Dry,Windy,33,2024-05-29,00:30,01:28,U2,easyJet,U22643,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
42,FR4028-855709,Dry,Breezy,17,2024-08-18,18:00,18:24,FR,Ryanair,FR4028,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
43,EI5089-245243,Heavy,Breezy,1,2024-11-26,09:25,09:58,EI,Aer Lingus,EI5089,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
44,U22824-240878,Light,Breezy,7,2024-03-16,10:35,11:27,U2,easyJet,U22824,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Widebody
45,BA0502-505373,Light,Breezy,10,2024-05-25,19:35,20:38,BA,British Airways,BA0502,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
46,U25378-446467,Dry,VeryWindy,1,2024-09-21,11:55,12:52,U2,easyJet,U25378,LGW,London Gatwick Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,561,Widebody
47,EI2554-796442,Dry,Breezy,4,2024-04-03,20:10,21:00,EI,Aer Lingus,EI2554,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Regional
48,EI1632-791921,Dry,Breezy,0,2024-08-20,17:45,18:51,EI,Aer Lingus,EI1632,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody
49,EI7438-602076,Dry,Calm,2,2024-10-08,17:00,18:00,EI,Aer Lingus,EI7438,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Widebody
50,EI5692-305954,Light,Windy,6,2024-10-05,21:55,22:48,EI,Aer Lingus,EI5692,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Narrowbody
51,U28854-779428,Dry,Windy,0,2024-06-22,00:10,00:58,U2,easyJet,U28854,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
52,U23814-593308,Dry,Breezy,3,2024-02-17,02:55,04:05,U2,easyJet,U23814,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Narrowbody
53,FR2647-074916,Light,Calm,23,2024-05-23,06:30,06:56,FR,Ryanair,FR2647,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
54,BA1612-347113,Heavy,Breezy,6,2024-09-17,02:25,03:30,BA,British Airways,BA1612,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
55,FR4950-991708,Dry,Windy,5,2024-06-25,11:50,12:50,FR,Ryanair,FR4950,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Widebody
56,EI5396-280595,Light,VeryWindy,17,2024-08-26,21:30,21:46,EI,Aer Lingus,EI5396,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Widebody
57,U22760-931719,Light,Breezy,20,2024-09-22,17:40,17:58,U2,easyJet,U22760,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Regional
58,BA3505-656454,Dry,Breezy,1,2024-09-27,12:15,12:51,BA,British Airways,BA3505,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Narrowbody
59,U29652-263256,Dry,Breezy,5,2024-03-21,18:35,19:39,U2,easyJet,U29652,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
60,EI5403-889236,Dry,Breezy,0,2024-04-07,21:05,22:07,EI,Aer Lingus,EI5403,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Regional
61,BA1309-505060,Dry,Breezy,6,2024-09-21,19:00,20:08,BA,British Airways,BA1309,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Regional
62,EI3232-883612,Dry,Windy,4,2024-09-06,08:50,09:52,EI,Aer Lingus,EI3232,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
63,FR9174-330975,Light,Breezy,10,2024-02-24,17:45,18:59,FR,Ryanair,FR9174,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
64,FR4397-308613,Dry,Calm,17,2024-01-08,11:50,12:12,FR,Ryanair,FR4397,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Narrowbody
65,U22173-757345,Dry,VeryWindy,5,2024-12-18,14:20,15:00,U2,easyJet,U22173,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Widebody
66,FR8890-108935,Moderate,Calm,15,2024-09-06,23:05,00:01,FR,Ryanair,FR8890,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Regional
67,U26245-217192,Light,Windy,5,2024-12-17,10:35,10:57,U2,easyJet,U26245,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Narrowbody
68,FR2669-931372,Moderate,Windy,6,2024-03-26,02:30,03:32,FR,Ryanair,FR2669,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Widebody
69,EI7951-496406,Light,Calm,8,2024-06-03,06:30,07:41,EI,Aer Lingus,EI7951,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Narrowbody
70,FR8855-645967,Light,Calm,4,2024-04-14,17:35,18:25,FR,Ryanair,FR8855,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Widebody
71,FR7286-937347,Heavy,Breezy,24,2024-12-05,06:40,07:30,FR,Ryanair,FR7286,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Widebody
72,BA9809-094058,Light,Breezy,0,2024-06-12,07:20,08:26,BA,British Airways,BA9809,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Widebody
73,EI9100-117277,Dry,Windy,2,2024-02-23,10:55,12:01,EI,Aer Lingus,EI9100,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
74,FR8613-589623,Dry,Breezy,33,2024-01-27,06:40,07:07,FR,Ryanair,FR8613,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
75,EI075-020536,Light,Breezy,0,2024-09-14,15:35,16:35,EI,Aer Lingus,EI075,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Narrowbody
76,FR7686-114515,Dry,Calm,1,2024-11-18,09:00,09:41,FR,Ryanair,FR7686,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
77,FR2713-100487,Moderate,Calm,22,2024-04-08,16:20,16:51,FR,Ryanair,FR2713,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Regional
78,FR3711-633556,Dry,VeryWindy,44,2024-07-28,19:00,20:11,FR,Ryanair,FR3711,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Regional
79,EI2653-155038,Dry,Windy,4,2024-11-02,17:15,18:27,EI,Aer Lingus,EI2653,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Widebody
80,BA8512-820581,Dry,Breezy,6,2024-09-25,09:35,10:13,BA,British Airways,BA8512,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
81,FR5701-221418,Light,Calm,8,2024-09-13,20:30,21:15,FR,Ryanair,FR5701,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Widebody
82,FR8316-305147,Dry,Calm,0,2024-02-22,11:20,11:52,FR,Ryanair,FR8316,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
83,U20390-731193,Dry,Calm,8,2024-04-15,04:35,04:48,U2,easyJet,U20390,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
84,BA0526-676552,Dry,Calm,5,2024-08-09,05:25,06:24,BA,British Airways,BA0526,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
85,BA4928-807579,Dry,Calm,0,2024-08-21,21:10,21:38,BA,British Airways,BA4928,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Regional
86,FR9813-120542,Moderate,Calm,9,2024-03-06,08:45,09:12,FR,Ryanair,FR9813,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Regional
87,FR1915-896905,Dry,Breezy,30,2024-04-10,17:15,18:13,FR,Ryanair,FR1915,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Regional
88,BA1531-037701,Dry,Calm,3,2024-02-16,14:05,15:09,BA,British Airways,BA1531,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
89,FR975-731330,Light,VeryWindy,37,2024-06-17,23:30,00:28,FR,Ryanair,FR975,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Widebody
90,U25262-800687,Light,Calm,5,2024-09-03,17:20,17:37,U2,easyJet,U25262,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
91,BA910-755024,Light,Breezy,8,2024-05-06,04:05,04:29,BA,British Airways,BA910,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Narrowbody
92,EI4418-590433,Light,Calm,1,2024-04-03,11:30,12:30,EI,Aer Lingus,EI4418,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Narrowbody
93,FR8443-637529,Dry,Breezy,7,2024-12-13,10:45,11:38,FR,Ryanair,FR8443,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
94,U26404-333430,Moderate,Calm,5,2024-02-02,17:05,17:25,U2,easyJet,U26404,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Narrowbody
95,U28162-800081,Dry,Windy,4,2024-12-10,09:15,10:14,U2,easyJet,U28162,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Widebody
96,U24927-830677,Light,Calm,0,2024-06-18,16:55,17:57,U2,easyJet,U24927,LGW,London Gatwick Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,561,Narrowbody
97,EI1350-397910,Light,Breezy,1,2024-03-19,08:10,09:11,EI,Aer Lingus,EI1350,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Widebody
98,FR7166-080124,Dry,Breezy,32,2024-02-28,17:10,18:10,FR,Ryanair,FR7166,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
99,BA0744-278294,Moderate,Calm,9,2024-09-15,16:20,16:42,BA,British Airways,BA0744,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Narrowbody
100,BA686-311089,Light,Calm,3,2024-04-08,08:30,09:22,BA,British Airways,BA686,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Narrowbody
101,EI7155-304898,Moderate,VeryWindy,24,2024-03-26,12:45,13:36,EI,Aer Lingus,EI7155,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Regional
102,EI3639-306392,Dry,Calm,3,2024-12-28,17:40,18:40,EI,Aer Lingus,EI3639,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
103,FR3183-510364,Light,Windy,9,2024-06-10,11:10,12:05,FR,Ryanair,FR3183,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Narrowbody
104,U21750-098916,Dry,VeryWindy,33,2024-11-23,10:25,10:47,U2,easyJet,U21750,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
105,BA3261-396673,Light,Breezy,5,2024-03-27,14:40,15:06,BA,British Airways,BA3261,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Widebody
106,FR6835-668223,Light,Calm,2,2024-11-01,23:45,00:12,FR,Ryanair,FR6835,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Regional
107,BA7054-673932,Light,Breezy,2,2024-08-19,11:15,12:27,BA,British Airways,BA7054,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Narrowbody
108,EI5929-147398,Light,Calm,3,2024-07-25,00:00,00:17,EI,Aer Lingus,EI5929,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
109,BA1066-555492,Dry,VeryWindy,41,2024-01-18,12:55,13:59,BA,British Airways,BA1066,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Widebody
110,FR8278-374698,Heavy,Breezy,49,2024-01-23,20:50,21:07,FR,Ryanair,FR8278,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
111,EI4328-663107,Dry,Windy,0,2024-09-12,18:05,19:06,EI,Aer Lingus,EI4328,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Widebody
112,U28353-821941,Dry,Windy,3,2024-12-02,07:30,08:02,U2,easyJet,U28353,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody
113,BA9277-212333,Dry,VeryWindy,37,2024-04-20,15:25,16:34,BA,British Airways,BA9277,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Regional
114,FR3186-299239,Dry,Windy,3,2024-04-12,17:55,18:54,FR,Ryanair,FR3186,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Regional
115,BA5979-258919,Dry,Breezy,6,2024-02-04,05:40,05:56,BA,British Airways,BA5979,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Regional
116,EI8451-169991,Dry,Windy,6,2024-11-25,12:45,13:20,EI,Aer Lingus,EI8451,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
117,BA1989-741486,Light,Breezy,5,2024-10-16,16:30,17:47,BA,British Airways,BA1989,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
118,EI3271-895773,Light,Breezy,5,2024-08-13,20:40,21:17,EI,Aer Lingus,EI3271,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Widebody
119,BA4742-034113,Dry,Calm,0,2024-11-28,20:00,21:06,BA,British Airways,BA4742,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Narrowbody
120,U20288-469786,Dry,Calm,17,2024-11-27,14:05,14:45,U2,easyJet,U20288,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
121,EI8814-208586,Dry,Breezy,10,2024-06-12,04:50,05:39,EI,Aer Lingus,EI8814,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Regional
122,EI5807-938575,Light,Breezy,15,2024-07-23,10:30,10:54,EI,Aer Lingus,EI5807,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody
123,EI2013-188988,Light,VeryWindy,8,2024-12-10,14:10,15:13,EI,Aer Lingus,EI2013,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Regional
124,U26375-237946,Dry,Breezy,0,2024-05-05,02:20,03:24,U2,easyJet,U26375,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Widebody
125,BA4652-721164,Dry,Breezy,4,2024-07-13,09:25,10:27,BA,British Airways,BA4652,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Narrowbody
126,U22348-438365,Moderate,Breezy,4,2024-12-07,03:50,04:59,U2,easyJet,U22348,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
127,EI5567-065743,Dry,Calm,2,2024-08-13,23:15,23:45,EI,Aer Lingus,EI5567,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Widebody
128,FR4776-331789,Light,Calm,2,2024-08-20,02:50,03:17,FR,Ryanair,FR4776,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Regional
129,EI1302-323007,Dry,VeryWindy,5,2024-10-10,05:40,06:11,EI,Aer Lingus,EI1302,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
130,EI7821-087420,Moderate,Windy,0,2024-01-27,17:50,18:52,EI,Aer Lingus,EI7821,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
131,EI8700-143798,Light,VeryWindy,3,2024-06-29,23:00,23:40,EI,Aer Lingus,EI8700,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Widebody
132,FR0573-745295,Dry,Calm,5,2024-07-27,15:30,16:10,FR,Ryanair,FR0573,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
133,EI8084-788937,Light,Breezy,5,2024-05-04,19:55,20:13,EI,Aer Lingus,EI8084,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
