flight_id,flight_date,sched_dep_time,sched_arr_time,carrier_code,carrier,flight_number,origin,origin_name,origin_city,origin_country,dest,dest_name,dest_city,dest_country,distance_km,aircraft_type
U29758-934135,2024-05-23,19:15,20:13,U2,easyJet,U29758,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Narrowbody
BA3825-282522,2024-02-07,13:45,14:03,BA,British Airways,BA3825,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
U29060-717686,2024-12-22,20:20,21:20,U2,easyJet,U29060,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
EI2552-426260,2024-04-03,03:35,04:35,EI,Aer Lingus,EI2552,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
U20026-752832,2024-08-10,19:50,20:52,U2,easyJet,U20026,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Narrowbody
U23361-420526,2024-04-11,18:35,19:35,U2,easyJet,U23361,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Widebody
U26718-403183,2024-10-22,22:10,23:07,U2,easyJet,U26718,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Narrowbody
FR8358-406291,2024-12-30,18:35,19:34,FR,Ryanair,FR8358,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Widebody
BA8506-980465,2024-01-11,04:15,05:15,BA,British Airways,BA8506,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Widebody
U21212-000430,2024-07-06,16:25,16:49,U2,easyJet,U21212,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
U27181-797748,2024-01-18,15:55,17:04,U2,easyJet,U27181,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Regional
U22643-553296,2024-05-29,00:30,01:28,U2,easyJet,U22643,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
FR4028-855709,2024-08-18,18:00,18:24,FR,Ryanair,FR4028,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
EI5089-245243,2024-11-26,09:25,09:58,EI,Aer Lingus,EI5089,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
U22824-240878,2024-03-16,10:35,11:27,U2,easyJet,U22824,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Widebody
BA0502-505373,2024-05-25,19:35,20:38,BA,British Airways,BA0502,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
U25378-446467,2024-09-21,11:55,12:52,U2,easyJet,U25378,LGW,London Gatwick Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,561,Widebody
EI2554-796442,2024-04-03,20:10,21:00,EI,Aer Lingus,EI2554,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Regional
EI1632-791921,2024-08-20,17:45,18:51,EI,Aer Lingus,EI1632,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody
EI7438-602076,2024-10-08,17:00,18:00,EI,Aer Lingus,EI7438,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Widebody
EI5692-305954,2024-10-05,21:55,22:48,EI,Aer Lingus,EI5692,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Narrowbody
U28854-779428,2024-06-22,00:10,00:58,U2,easyJet,U28854,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
U23814-593308,2024-02-17,02:55,04:05,U2,easyJet,U23814,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Narrowbody
FR2647-074916,2024-05-23,06:30,06:56,FR,Ryanair,FR2647,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
BA1612-347113,2024-09-17,02:25,03:30,BA,British Airways,BA1612,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
FR4950-991708,2024-06-25,11:50,12:50,FR,Ryanair,FR4950,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Widebody
EI5396-280595,2024-08-26,21:30,21:46,EI,Aer Lingus,EI5396,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Widebody
U22760-931719,2024-09-22,17:40,17:58,U2,easyJet,U22760,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Regional
BA3505-656454,2024-09-27,12:15,12:51,BA,British Airways,BA3505,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Narrowbody
U29652-263256,2024-03-21,18:35,19:39,U2,easyJet,U29652,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
EI5403-889236,2024-04-07,21:05,22:07,EI,Aer Lingus,EI5403,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Regional
BA1309-505060,2024-09-21,19:00,20:08,BA,British Airways,BA1309,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Regional
EI3232-883612,2024-09-06,08:50,09:52,EI,Aer Lingus,EI3232,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
FR9174-330975,2024-02-24,17:45,18:59,FR,Ryanair,FR9174,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
FR4397-308613,2024-01-08,11:50,12:12,FR,Ryanair,FR4397,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Narrowbody
U22173-757345,2024-12-18,14:20,15:00,U2,easyJet,U22173,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Widebody
FR8890-108935,2024-09-06,23:05,00:01,FR,Ryanair,FR8890,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Regional
U26245-217192,2024-12-17,10:35,10:57,U2,easyJet,U26245,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Narrowbody
FR2669-931372,2024-03-26,02:30,03:32,FR,Ryanair,FR2669,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Widebody
EI7951-496406,2024-06-03,06:30,07:41,EI,Aer Lingus,EI7951,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Narrowbody
FR8855-645967,2024-04-14,17:35,18:25,FR,Ryanair,FR8855,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Widebody
FR7286-937347,2024-12-05,06:40,07:30,FR,Ryanair,FR7286,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Widebody
BA9809-094058,2024-06-12,07:20,08:26,BA,British Airways,BA9809,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Widebody
EI9100-117277,2024-02-23,10:55,12:01,EI,Aer Lingus,EI9100,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
FR8613-589623,2024-01-27,06:40,07:07,FR,Ryanair,FR8613,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
EI075-020536,2024-09-14,15:35,16:35,EI,Aer Lingus,EI075,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Narrowbody
FR7686-114515,2024-11-18,09:00,09:41,FR,Ryanair,FR7686,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
FR2713-100487,2024-04-08,16:20,16:51,FR,Ryanair,FR2713,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Regional
FR3711-633556,2024-07-28,19:00,20:11,FR,Ryanair,FR3711,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Regional
EI2653-155038,2024-11-02,17:15,18:27,EI,Aer Lingus,EI2653,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Widebody
BA8512-820581,2024-09-25,09:35,10:13,BA,British Airways,BA8512,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
FR5701-221418,2024-09-13,20:30,21:15,FR,Ryanair,FR5701,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Widebody
FR8316-305147,2024-02-22,11:20,11:52,FR,Ryanair,FR8316,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
U20390-731193,2024-04-15,04:35,04:48,U2,easyJet,U20390,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
BA0526-676552,2024-08-09,05:25,06:24,BA,British Airways,BA0526,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
BA4928-807579,2024-08-21,21:10,21:38,BA,British Airways,BA4928,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Regional
FR9813-120542,2024-03-06,08:45,09:12,FR,Ryanair,FR9813,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Regional
FR1915-896905,2024-04-10,17:15,18:13,FR,Ryanair,FR1915,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Regional
BA1531-037701,2024-02-16,14:05,15:09,BA,British Airways,BA1531,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
FR975-731330,2024-06-17,23:30,00:28,FR,Ryanair,FR975,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Widebody
U25262-800687,2024-09-03,17:20,17:37,U2,easyJet,U25262,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
BA910-755024,2024-05-06,04:05,04:29,BA,British Airways,BA910,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Narrowbody
EI4418-590433,2024-04-03,11:30,12:30,EI,Aer Lingus,EI4418,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Narrowbody
FR8443-637529,2024-12-13,10:45,11:38,FR,Ryanair,FR8443,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
U26404-333430,2024-02-02,17:05,17:25,U2,easyJet,U26404,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Narrowbody
U28162-800081,2024-12-10,09:15,10:14,U2,easyJet,U28162,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Widebody
U24927-830677,2024-06-18,16:55,17:57,U2,easyJet,U24927,LGW,London Gatwick Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,561,Narrowbody
EI1350-397910,2024-03-19,08:10,09:11,EI,Aer Lingus,EI1350,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Widebody
FR7166-080124,2024-02-28,17:10,18:10,FR,Ryanair,FR7166,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
BA0744-278294,2024-09-15,16:20,16:42,BA,British Airways,BA0744,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Narrowbody
BA686-311089,2024-04-08,08:30,09:22,BA,British Airways,BA686,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Narrowbody
EI7155-304898,2024-03-26,12:45,13:36,EI,Aer Lingus,EI7155,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Regional
EI3639-306392,2024-12-28,17:40,18:40,EI,Aer Lingus,EI3639,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
FR3183-510364,2024-06-10,11:10,12:05,FR,Ryanair,FR3183,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Narrowbody
U21750-098916,2024-11-23,10:25,10:47,U2,easyJet,U21750,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
BA3261-396673,2024-03-27,14:40,15:06,BA,British Airways,BA3261,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Widebody
FR6835-668223,2024-11-01,23:45,00:12,FR,Ryanair,FR6835,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Regional
BA7054-673932,2024-08-19,11:15,12:27,BA,British Airways,BA7054,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Narrowbody
EI5929-147398,2024-07-25,00:00,00:17,EI,Aer Lingus,EI5929,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
BA1066-555492,2024-01-18,12:55,13:59,BA,British Airways,BA1066,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Widebody
FR8278-374698,2024-01-23,20:50,21:07,FR,Ryanair,FR8278,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
EI4328-663107,2024-09-12,18:05,19:06,EI,Aer Lingus,EI4328,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Widebody
U28353-821941,2024-12-02,07:30,08:02,U2,easyJet,U28353,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody
BA9277-212333,2024-04-20,15:25,16:34,BA,British Airways,BA9277,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Regional
FR3186-299239,2024-04-12,17:55,18:54,FR,Ryanair,FR3186,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Regional
BA5979-258919,2024-02-04,05:40,05:56,BA,British Airways,BA5979,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Regional
EI8451-169991,2024-11-25,12:45,13:20,EI,Aer Lingus,EI8451,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
BA1989-741486,2024-10-16,16:30,17:47,BA,British Airways,BA1989,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
EI3271-895773,2024-08-13,20:40,21:17,EI,Aer Lingus,EI3271,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Widebody
BA4742-034113,2024-11-28,20:00,21:06,BA,British Airways,BA4742,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Narrowbody
U20288-469786,2024-11-27,14:05,14:45,U2,easyJet,U20288,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
EI8814-208586,2024-06-12,04:50,05:39,EI,Aer Lingus,EI8814,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Regional
EI5807-938575,2024-07-23,10:30,10:54,EI,Aer Lingus,EI5807,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody
EI2013-188988,2024-12-10,14:10,15:13,EI,Aer Lingus,EI2013,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Regional
U26375-237946,2024-05-05,02:20,03:24,U2,easyJet,U26375,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Widebody
BA4652-721164,2024-07-13,09:25,10:27,BA,British Airways,BA4652,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Narrowbody
U22348-438365,2024-12-07,03:50,04:59,U2,easyJet,U22348,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
EI5567-065743,2024-08-13,23:15,23:45,EI,Aer Lingus,EI5567,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Widebody
FR4776-331789,2024-08-20,02:50,03:17,FR,Ryanair,FR4776,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Regional
EI1302-323007,2024-10-10,05:40,06:11,EI,Aer Lingus,EI1302,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
EI7821-087420,2024-01-27,17:50,18:52,EI,Aer Lingus,EI7821,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
EI8700-143798,2024-06-29,23:00,23:40,EI,Aer Lingus,EI8700,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Widebody
FR0573-745295,2024-07-27,15:30,16:10,FR,Ryanair,FR0573,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
EI8084-788937,2024-05-04,19:55,20:13,EI,Aer Lingus,EI8084,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
FR2217-284485,2024-09-18,22:50,23:48,FR,Ryanair,FR2217,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Widebody
FR1882-551630,2024-10-04,14:05,14:24,FR,Ryanair,FR1882,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Widebody
BA8733-151626,2024-02-23,12:45,13:33,BA,British Airways,BA8733,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Regional
U25799-123039,2024-05-15,19:50,21:03,U2,easyJet,U25799,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Regional
EI4890-472819,2024-01-08,19:30,19:51,EI,Aer Lingus,EI4890,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Regional
EI0927-648219,2024-07-07,18:00,18:36,EI,Aer Lingus,EI0927,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
EI0542-731813,2024-10-07,10:30,11:17,EI,Aer Lingus,EI0542,SNN,Shannon Airport,Shannon,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,281,Narrowbody
BA7643-434773,2024-01-17,11:05,12:17,BA,British Airways,BA7643,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Regional
EI8205-031799,2024-08-28,19:20,20:29,EI,Aer Lingus,EI8205,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Widebody
U22528-860157,2024-08-15,13:00,13:29,U2,easyJet,U22528,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Regional
EI3965-206803,2024-10-03,10:15,10:41,EI,Aer Lingus,EI3965,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Regional
BA4051-483544,2024-02-16,16:45,17:29,BA,British Airways,BA4051,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Regional
BA7595-709488,2024-12-30,06:00,06:30,BA,British Airways,BA7595,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
BA779-241586,2024-07-05,08:20,09:24,BA,British Airways,BA779,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Narrowbody
FR6360-037575,2024-11-08,20:05,21:13,FR,Ryanair,FR6360,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
U28213-819575,2024-11-30,20:00,21:06,U2,easyJet,U28213,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Widebody
U28947-089673,2024-11-03,09:15,09:35,U2,easyJet,U28947,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Narrowbody
EI9431-293247,2024-10-21,14:50,15:25,EI,Aer Lingus,EI9431,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Narrowbody
BA5323-521366,2024-07-18,07:20,08:24,BA,British Airways,BA5323,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Narrowbody
