,flight_id,precipitation,wind,dep_delay,carrier,origin_name,origin_city,origin_country,dest_name,dest_city,dest_country,distance_km,aircraft_type,scheduled_departure,scheduled_arrival,delayed,departure_hour,departure_dayofweek,departure_month,flight_duration_mins,bad_weather,origin_flight_count,peak_hour_departure
11,FR776-835138,2,0,4,Ryanair,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-07-24 19:55:00,2024-07-24 20:53:00,0,19,2,7,58.0,1,445,1
12,FR0160-673997,0,1,6,Ryanair,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Widebody,2024-01-14 23:40:00,2024-01-14 00:10:00,0,23,6,1,-1410.0,0,400,0
13,BA0553-087806,2,3,8,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Widebody,2024-01-12 20:45:00,2024-01-12 21:09:00,0,20,4,1,24.0,1,411,0
14,FR224-399045,0,1,1,Ryanair,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Widebody,2024-11-12 20:40:00,2024-11-12 21:34:00,0,20,1,11,54.0,0,419,0
15,EI2230-116439,0,1,0,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Narrowbody,2024-08-16 06:10:00,2024-08-16 07:18:00,0,6,4,8,68.0,0,435,1
16,EI7511-091690,1,2,0,Aer Lingus,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-03-05 20:45:00,2024-03-05 21:46:00,0,20,1,3,61.0,1,411,0
17,U21451-594186,0,0,38,easyJet,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-08-14 11:45:00,2024-08-14 12:15:00,1,11,2,8,30.0,0,419,0
18,FR9269-677098,1,2,20,Ryanair,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Narrowbody,2024-03-12 22:40:00,2024-03-12 23:46:00,1,22,1,3,66.0,1,432,0
19,FR3751-118482,2,0,36,Ryanair,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Regional,2024-06-14 04:35:00,2024-06-14 05:44:00,1,4,4,6,69.0,1,432,0
20,BA3335-893850,0,2,36,British Airways,London City Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,478,Narrowbody,2024-03-05 12:00:00,2024-03-05 13:05:00,1,12,1,3,65.0,1,445,0
21,FR9476-011476,0,3,15,Ryanair,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Widebody,2024-05-11 01:40:00,2024-05-11 01:56:00,1,1,5,5,16.0,1,445,0
22,EI4997-341320,0,1,0,Aer Lingus,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Widebody,2024-07-06 20:05:00,2024-07-06 20:35:00,0,20,5,7,30.0,0,419,0
23,FR1342-280716,0,0,9,Ryanair,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Regional,2024-06-24 14:50:00,2024-06-24 15:16:00,0,14,0,6,26.0,0,419,0
24,FR9824-367504,0,1,0,Ryanair,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Widebody,2024-02-26 11:00:00,2024-02-26 12:08:00,0,11,0,2,68.0,0,458,0
25,FR2956-308203,0,0,7,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Regional,2024-09-11 02:30:00,2024-09-11 03:00:00,0,2,2,9,30.0,0,419,0
26,FR860-125511,0,2,26,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Widebody,2024-05-13 09:55:00,2024-05-13 11:00:00,1,9,0,5,65.0,1,435,1
27,U27642-051795,0,1,7,easyJet,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Narrowbody,2024-08-29 10:50:00,2024-08-29 11:56:00,0,10,3,8,66.0,0,458,0
28,U28746-132275,0,0,3,easyJet,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Narrowbody,2024-07-01 01:50:00,2024-07-01 02:48:00,0,1,0,7,58.0,0,432,0
29,FR1600-084670,0,0,0,Ryanair,London Heathrow Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,594,Widebody,2024-06-23 12:30:00,2024-06-23 13:42:00,0,12,6,6,72.0,0,411,0
30,U29758-934135,0,1,0,easyJet,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Narrowbody,2024-05-23 19:15:00,2024-05-23 20:13:00,0,19,3,5,58.0,0,419,1
31,BA3825-282522,0,0,1,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-02-07 13:45:00,2024-02-07 14:03:00,0,13,2,2,18.0,0,411,0
32,U29060-717686,2,0,2,easyJet,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Widebody,2024-12-22 20:20:00,2024-12-22 21:20:00,0,20,6,12,60.0,1,419,0
33,EI2552-426260,0,1,4,Aer Lingus,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-04-03 03:35:00,2024-04-03 04:35:00,0,3,2,4,60.0,0,411,0
34,U20026-752832,0,1,9,easyJet,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Narrowbody,2024-08-10 19:50:00,2024-08-10 20:52:00,0,19,5,8,62.0,0,458,1
35,U23361-420526,0,0,6,easyJet,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Widebody,2024-04-11 18:35:00,2024-04-11 19:35:00,0,18,3,4,60.0,0,445,1
36,U26718-403183,0,2,0,easyJet,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Narrowbody,2024-10-22 22:10:00,2024-10-22 23:07:00,0,22,1,10,57.0,1,419,0
37,FR8358-406291,0,1,8,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Widebody,2024-12-30 18:35:00,2024-12-30 19:34:00,0,18,0,12,59.0,0,435,1
38,BA8506-980465,0,2,3,British Airways,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Widebody,2024-01-11 04:15:00,2024-01-11 05:15:00,0,4,3,1,60.0,1,435,0
39,U21212-000430,0,2,7,easyJet,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-07-06 16:25:00,2024-07-06 16:49:00,0,16,5,7,24.0,1,445,1
40,U27181-797748,3,1,7,easyJet,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Regional,2024-01-18 15:55:00,2024-01-18 17:04:00,0,15,3,1,69.0,1,400,0
41,U22643-553296,0,2,33,easyJet,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-05-29 00:30:00,2024-05-29 01:28:00,1,0,2,5,58.0,1,445,0
42,FR4028-855709,0,1,17,Ryanair,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Widebody,2024-08-18 18:00:00,2024-08-18 18:24:00,1,18,6,8,24.0,0,432,1
43,EI5089-245243,3,1,1,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody,2024-11-26 09:25:00,2024-11-26 09:58:00,0,9,1,11,33.0,1,400,1
44,U22824-240878,1,1,7,easyJet,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Widebody,2024-03-16 10:35:00,2024-03-16 11:27:00,0,10,5,3,52.0,0,458,0
45,BA0502-505373,1,1,10,British Airways,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-05-25 19:35:00,2024-05-25 20:38:00,0,19,5,5,63.0,0,411,1
46,U25378-446467,0,3,1,easyJet,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Widebody,2024-09-21 11:55:00,2024-09-21 12:52:00,0,11,5,9,57.0,1,432,0
47,EI2554-796442,0,1,4,Aer Lingus,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Regional,2024-04-03 20:10:00,2024-04-03 21:00:00,0,20,2,4,50.0,0,419,0
48,EI1632-791921,0,1,0,Aer Lingus,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody,2024-08-20 17:45:00,2024-08-20 18:51:00,0,17,1,8,66.0,0,445,1
49,EI7438-602076,0,0,2,Aer Lingus,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Widebody,2024-10-08 17:00:00,2024-10-08 18:00:00,0,17,1,10,60.0,0,445,1
50,EI5692-305954,1,2,6,Aer Lingus,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Narrowbody,2024-10-05 21:55:00,2024-10-05 22:48:00,0,21,5,10,53.0,1,419,0
51,U28854-779428,0,2,0,easyJet,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Widebody,2024-06-22 00:10:00,2024-06-22 00:58:00,0,0,5,6,48.0,1,419,0
52,U23814-593308,0,1,3,easyJet,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Narrowbody,2024-02-17 02:55:00,2024-02-17 04:05:00,0,2,5,2,70.0,0,411,0
53,FR2647-074916,1,0,23,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-05-23 06:30:00,2024-05-23 06:56:00,1,6,3,5,26.0,0,419,1
54,BA1612-347113,3,1,6,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Widebody,2024-09-17 02:25:00,2024-09-17 03:30:00,0,2,1,9,65.0,1,458,0
55,FR4950-991708,0,2,5,Ryanair,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Widebody,2024-06-25 11:50:00,2024-06-25 12:50:00,0,11,1,6,60.0,1,432,0
56,EI5396-280595,1,3,17,Aer Lingus,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Widebody,2024-08-26 21:30:00,2024-08-26 21:46:00,1,21,0,8,16.0,1,445,0
57,U22760-931719,1,1,20,easyJet,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Regional,2024-09-22 17:40:00,2024-09-22 17:58:00,1,17,6,9,18.0,0,445,1
58,BA3505-656454,0,1,1,British Airways,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Narrowbody,2024-09-27 12:15:00,2024-09-27 12:51:00,0,12,4,9,36.0,0,419,0
59,U29652-263256,0,1,5,easyJet,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-03-21 18:35:00,2024-03-21 19:39:00,0,18,3,3,64.0,0,419,1
60,EI5403-889236,0,1,0,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Regional,2024-04-07 21:05:00,2024-04-07 22:07:00,0,21,6,4,62.0,0,400,0
61,BA1309-505060,0,1,6,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Regional,2024-09-21 19:00:00,2024-09-21 20:08:00,0,19,5,9,68.0,0,435,1
62,EI3232-883612,0,2,4,Aer Lingus,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Widebody,2024-09-06 08:50:00,2024-09-06 09:52:00,0,8,4,9,62.0,1,419,1
63,FR9174-330975,1,1,10,Ryanair,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Widebody,2024-02-24 17:45:00,2024-02-24 18:59:00,0,17,5,2,74.0,0,458,1
64,FR4397-308613,0,0,17,Ryanair,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Narrowbody,2024-01-08 11:50:00,2024-01-08 12:12:00,1,11,0,1,22.0,0,432,0
65,U22173-757345,0,3,5,easyJet,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Widebody,2024-12-18 14:20:00,2024-12-18 15:00:00,0,14,2,12,40.0,1,400,0
66,FR8890-108935,2,0,15,Ryanair,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Regional,2024-09-06 23:05:00,2024-09-06 00:01:00,1,23,4,9,-1384.0,1,400,0
67,U26245-217192,1,2,5,easyJet,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Narrowbody,2024-12-17 10:35:00,2024-12-17 10:57:00,0,10,1,12,22.0,1,445,0
68,FR2669-931372,2,2,6,Ryanair,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Widebody,2024-03-26 02:30:00,2024-03-26 03:32:00,0,2,1,3,62.0,1,400,0
69,EI7951-496406,1,0,8,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Narrowbody,2024-06-03 06:30:00,2024-06-03 07:41:00,0,6,0,6,71.0,0,400,1
70,FR8855-645967,1,0,4,Ryanair,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Widebody,2024-04-14 17:35:00,2024-04-14 18:25:00,0,17,6,4,50.0,0,419,1
71,FR7286-937347,3,1,24,Ryanair,London Heathrow Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,450,Widebody,2024-12-05 06:40:00,2024-12-05 07:30:00,1,6,3,12,50.0,1,411,1
72,BA9809-094058,1,1,0,British Airways,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Widebody,2024-06-12 07:20:00,2024-06-12 08:26:00,0,7,2,6,66.0,0,445,1
73,EI9100-117277,0,2,2,Aer Lingus,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-02-23 10:55:00,2024-02-23 12:01:00,0,10,4,2,66.0,1,458,0
74,FR8613-589623,0,1,33,Ryanair,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody,2024-01-27 06:40:00,2024-01-27 07:07:00,1,6,5,1,27.0,0,400,1
75,EI075-020536,1,1,0,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Narrowbody,2024-09-14 15:35:00,2024-09-14 16:35:00,0,15,5,9,60.0,0,435,0
76,FR7686-114515,0,0,1,Ryanair,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-11-18 09:00:00,2024-11-18 09:41:00,0,9,0,11,41.0,0,400,1
77,FR2713-100487,2,0,22,Ryanair,Shannon Airport,Shannon,Ireland,Dublin Airport,Dublin,Ireland,195,Regional,2024-04-08 16:20:00,2024-04-08 16:51:00,1,16,0,4,31.0,1,458,1
78,FR3711-633556,0,3,44,Ryanair,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Regional,2024-07-28 19:00:00,2024-07-28 20:11:00,1,19,6,7,71.0,1,458,1
79,EI2653-155038,0,2,4,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Widebody,2024-11-02 17:15:00,2024-11-02 18:27:00,0,17,5,11,72.0,1,435,1
80,BA8512-820581,0,1,6,British Airways,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-09-25 09:35:00,2024-09-25 10:13:00,0,9,2,9,38.0,0,419,1
81,FR5701-221418,1,0,8,Ryanair,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Widebody,2024-09-13 20:30:00,2024-09-13 21:15:00,0,20,4,9,45.0,0,435,0
82,FR8316-305147,0,0,0,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-02-22 11:20:00,2024-02-22 11:52:00,0,11,3,2,32.0,0,419,0
83,U20390-731193,0,0,8,easyJet,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Widebody,2024-04-15 04:35:00,2024-04-15 04:48:00,0,4,0,4,13.0,0,432,0
84,BA0526-676552,0,0,5,British Airways,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-08-09 05:25:00,2024-08-09 06:24:00,0,5,4,8,59.0,0,419,0
85,BA4928-807579,0,0,0,British Airways,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Regional,2024-08-21 21:10:00,2024-08-21 21:38:00,0,21,2,8,28.0,0,432,0
86,FR9813-120542,2,0,9,Ryanair,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Regional,2024-03-06 08:45:00,2024-03-06 09:12:00,0,8,2,3,27.0,1,435,1
87,FR1915-896905,0,1,30,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Regional,2024-04-10 17:15:00,2024-04-10 18:13:00,1,17,2,4,58.0,0,435,1
88,BA1531-037701,0,0,3,British Airways,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-02-16 14:05:00,2024-02-16 15:09:00,0,14,4,2,64.0,0,445,0
89,FR975-731330,1,3,37,Ryanair,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Widebody,2024-06-17 23:30:00,2024-06-17 00:28:00,1,23,0,6,-1382.0,1,419,0
90,U25262-800687,1,0,5,easyJet,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-09-03 17:20:00,2024-09-03 17:37:00,0,17,1,9,17.0,0,445,1
91,BA910-755024,1,1,8,British Airways,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-05-06 04:05:00,2024-05-06 04:29:00,0,4,0,5,24.0,0,432,0
92,EI4418-590433,1,0,1,Aer Lingus,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Narrowbody,2024-04-03 11:30:00,2024-04-03 12:30:00,0,11,2,4,60.0,0,458,0
93,FR8443-637529,0,1,7,Ryanair,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-12-13 10:45:00,2024-12-13 11:38:00,0,10,4,12,53.0,0,419,0
94,U26404-333430,2,0,5,easyJet,London Heathrow Airport,London,United Kingdom,London City Airport,London,United Kingdom,36,Narrowbody,2024-02-02 17:05:00,2024-02-02 17:25:00,0,17,4,2,20.0,1,411,1
95,U28162-800081,0,2,4,easyJet,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Widebody,2024-12-10 09:15:00,2024-12-10 10:14:00,0,9,1,12,59.0,1,458,1
96,U24927-830677,1,0,0,easyJet,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Narrowbody,2024-06-18 16:55:00,2024-06-18 17:57:00,0,16,1,6,62.0,0,432,1
97,EI1350-397910,1,1,1,Aer Lingus,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Widebody,2024-03-19 08:10:00,2024-03-19 09:11:00,0,8,1,3,61.0,0,419,1
98,FR7166-080124,0,1,32,Ryanair,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Widebody,2024-02-28 17:10:00,2024-02-28 18:10:00,1,17,2,2,60.0,0,458,1
99,BA0744-278294,2,0,9,British Airways,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-09-15 16:20:00,2024-09-15 16:42:00,0,16,6,9,22.0,1,432,1
100,BA686-311089,1,0,3,British Airways,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Narrowbody,2024-04-08 08:30:00,2024-04-08 09:22:00,0,8,0,4,52.0,0,419,1
101,EI7155-304898,2,3,24,Aer Lingus,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Regional,2024-03-26 12:45:00,2024-03-26 13:36:00,1,12,1,3,51.0,1,432,0
102,EI3639-306392,0,0,3,Aer Lingus,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Widebody,2024-12-28 17:40:00,2024-12-28 18:40:00,0,17,5,12,60.0,0,458,1
103,FR3183-510364,1,2,9,Ryanair,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Narrowbody,2024-06-10 11:10:00,2024-06-10 12:05:00,0,11,0,6,55.0,1,419,0
104,U21750-098916,0,3,33,easyJet,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-11-23 10:25:00,2024-11-23 10:47:00,1,10,5,11,22.0,1,411,0
105,BA3261-396673,1,1,5,British Airways,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Widebody,2024-03-27 14:40:00,2024-03-27 15:06:00,0,14,2,3,26.0,0,400,0
106,FR6835-668223,1,0,2,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Regional,2024-11-01 23:45:00,2024-11-01 00:12:00,0,23,4,11,-1413.0,0,419,0
107,BA7054-673932,1,1,2,British Airways,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Narrowbody,2024-08-19 11:15:00,2024-08-19 12:27:00,0,11,0,8,72.0,0,432,0
108,EI5929-147398,1,0,3,Aer Lingus,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-07-25 00:00:00,2024-07-25 00:17:00,0,0,3,7,17.0,0,445,0
109,BA1066-555492,0,3,41,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Widebody,2024-01-18 12:55:00,2024-01-18 13:59:00,1,12,3,1,64.0,1,435,0
110,FR8278-374698,3,1,49,Ryanair,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-01-23 20:50:00,2024-01-23 21:07:00,1,20,1,1,17.0,1,411,0
111,EI4328-663107,0,2,0,Aer Lingus,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Widebody,2024-09-12 18:05:00,2024-09-12 19:06:00,0,18,3,9,61.0,1,432,1
112,U28353-821941,0,2,3,easyJet,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody,2024-12-02 07:30:00,2024-12-02 08:02:00,0,7,0,12,32.0,1,419,1
113,BA9277-212333,0,3,37,British Airways,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Regional,2024-04-20 15:25:00,2024-04-20 16:34:00,1,15,5,4,69.0,1,432,0
114,FR3186-299239,0,2,3,Ryanair,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Regional,2024-04-12 17:55:00,2024-04-12 18:54:00,0,17,4,4,59.0,1,411,1
115,BA5979-258919,0,1,6,British Airways,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Regional,2024-02-04 05:40:00,2024-02-04 05:56:00,0,5,6,2,16.0,0,445,0
116,EI8451-169991,0,2,6,Aer Lingus,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-11-25 12:45:00,2024-11-25 13:20:00,0,12,0,11,35.0,1,419,0
117,BA1989-741486,1,1,5,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-10-16 16:30:00,2024-10-16 17:47:00,0,16,2,10,77.0,0,458,1
118,EI3271-895773,1,1,5,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Widebody,2024-08-13 20:40:00,2024-08-13 21:17:00,0,20,1,8,37.0,0,435,0
119,BA4742-034113,0,0,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Narrowbody,2024-11-28 20:00:00,2024-11-28 21:06:00,0,20,3,11,66.0,0,435,0
120,U20288-469786,0,0,17,easyJet,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-11-27 14:05:00,2024-11-27 14:45:00,1,14,2,11,40.0,0,400,0
121,EI8814-208586,0,1,10,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Regional,2024-06-12 04:50:00,2024-06-12 05:39:00,0,4,2,6,49.0,0,435,0
122,EI5807-938575,1,1,15,Aer Lingus,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody,2024-07-23 10:30:00,2024-07-23 10:54:00,1,10,1,7,24.0,0,419,0
