,flight_id,precipitation,wind,dep_delay,carrier,origin_name,origin_city,origin_country,dest_name,dest_city,dest_country,distance_km,aircraft_type,scheduled_departure
27,U27642-051795,Dry,Breezy,7,easyJet,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Narrowbody,2024-08-29 11:56:00
28,U28746-132275,Dry,Calm,3,easyJet,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Narrowbody,2024-07-01 02:48:00
29,FR1600-084670,Dry,Calm,0,Ryanair,London Heathrow Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,594,Widebody,2024-06-23 13:42:00
30,U29758-934135,Dry,Breezy,0,easyJet,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Narrowbody,2024-05-23 20:13:00
31,BA3825-282522,Dry,Calm,1,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-02-07 14:03:00
32,U29060-717686,Moderate,Calm,2,easyJet,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Widebody,2024-12-22 21:20:00
33,EI2552-426260,Dry,Breezy,4,Aer Lingus,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-04-03 04:35:00
34,U20026-752832,Dry,Breezy,9,easyJet,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Narrowbody,2024-08-10 20:52:00
35,U23361-420526,Dry,Calm,6,easyJet,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Widebody,2024-04-11 19:35:00
36,U26718-403183,Dry,Windy,0,easyJet,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Narrowbody,2024-10-22 23:07:00
37,FR8358-406291,Dry,Breezy,8,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Widebody,2024-12-30 19:34:00
38,BA8506-980465,Dry,Windy,3,British Airways,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Widebody,2024-01-11 05:15:00
39,U21212-000430,Dry,Windy,7,easyJet,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-07-06 16:49:00
40,U27181-797748,Heavy,Breezy,7,easyJet,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Regional,2024-01-18 17:04:00
41,U22643-553296,Dry,Windy,33,easyJet,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-05-29 01:28:00
42,FR4028-855709,Dry,Breezy,17,Ryanair,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Widebody,2024-08-18 18:24:00
43,EI5089-245243,Heavy,Breezy,1,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody,2024-11-26 09:58:00
44,U22824-240878,Light,Breezy,7,easyJet,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Widebody,2024-03-16 11:27:00
45,BA0502-505373,Light,Breezy,10,British Airways,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-05-25 20:38:00
46,U25378-446467,Dry,Very Windy,1,easyJet,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Widebody,2024-09-21 12:52:00
47,EI2554-796442,Dry,Breezy,4,Aer Lingus,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Regional,2024-04-03 21:00:00
48,EI1632-791921,Dry,Breezy,0,Aer Lingus,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody,2024-08-20 18:51:00
49,EI7438-602076,Dry,Calm,2,Aer Lingus,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Widebody,2024-10-08 18:00:00
50,EI5692-305954,Light,Windy,6,Aer Lingus,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Narrowbody,2024-10-05 22:48:00
51,U28854-779428,Dry,Windy,0,easyJet,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Widebody,2024-06-22 00:58:00
52,U23814-593308,Dry,Breezy,3,easyJet,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Narrowbody,2024-02-17 04:05:00
53,FR2647-074916,Light,Calm,23,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-05-23 06:56:00
54,BA1612-347113,Heavy,Breezy,6,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Widebody,2024-09-17 03:30:00
55,FR4950-991708,Dry,Windy,5,Ryanair,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Widebody,2024-06-25 12:50:00
56,EI5396-280595,Light,Very Windy,17,Aer Lingus,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Widebody,2024-08-26 21:46:00
57,U22760-931719,Light,Breezy,20,easyJet,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Regional,2024-09-22 17:58:00
58,BA3505-656454,Dry,Breezy,1,British Airways,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Narrowbody,2024-09-27 12:51:00
59,U29652-263256,Dry,Breezy,5,easyJet,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-03-21 19:39:00
60,EI5403-889236,Dry,Breezy,0,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Regional,2024-04-07 22:07:00
61,BA1309-505060,Dry,Breezy,6,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Regional,2024-09-21 20:08:00
62,EI3232-883612,Dry,Windy,4,Aer Lingus,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Widebody,2024-09-06 09:52:00
63,FR9174-330975,Light,Breezy,10,Ryanair,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Widebody,2024-02-24 18:59:00
64,FR4397-308613,Dry,Calm,17,Ryanair,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Narrowbody,2024-01-08 12:12:00
65,U22173-757345,Dry,Very Windy,5,easyJet,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Widebody,2024-12-18 15:00:00
66,FR8890-108935,Moderate,Calm,15,Ryanair,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Regional,2024-09-06 00:01:00
67,U26245-217192,Light,Windy,5,easyJet,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Narrowbody,2024-12-17 10:57:00
68,FR2669-931372,Moderate,Windy,6,Ryanair,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Widebody,2024-03-26 03:32:00
69,EI7951-496406,Light,Calm,8,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Narrowbody,2024-06-03 07:41:00
70,FR8855-645967,Light,Calm,4,Ryanair,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Widebody,2024-04-14 18:25:00
71,FR7286-937347,Heavy,Breezy,24,Ryanair,London Heathrow Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,450,Widebody,2024-12-05 07:30:00
72,BA9809-094058,Light,Breezy,0,British Airways,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Widebody,2024-06-12 08:26:00
73,EI9100-117277,Dry,Windy,2,Aer Lingus,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-02-23 12:01:00
74,FR8613-589623,Dry,Breezy,33,Ryanair,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody,2024-01-27 07:07:00
75,EI075-020536,Light,Breezy,0,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Narrowbody,2024-09-14 16:35:00
76,FR7686-114515,Dry,Calm,1,Ryanair,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-11-18 09:41:00
77,FR2713-100487,Moderate,Calm,22,Ryanair,Shannon Airport,Shannon,Ireland,Dublin Airport,Dublin,Ireland,195,Regional,2024-04-08 16:51:00
78,FR3711-633556,Dry,Very Windy,44,Ryanair,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Regional,2024-07-28 20:11:00
79,EI2653-155038,Dry,Windy,4,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Widebody,2024-11-02 18:27:00
80,BA8512-820581,Dry,Breezy,6,British Airways,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-09-25 10:13:00
81,FR5701-221418,Light,Calm,8,Ryanair,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Widebody,2024-09-13 21:15:00
82,FR8316-305147,Dry,Calm,0,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-02-22 11:52:00
83,U20390-731193,Dry,Calm,8,easyJet,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Widebody,2024-04-15 04:48:00
84,BA0526-676552,Dry,Calm,5,British Airways,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-08-09 06:24:00
85,BA4928-807579,Dry,Calm,0,British Airways,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Regional,2024-08-21 21:38:00
86,FR9813-120542,Moderate,Calm,9,Ryanair,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Regional,2024-03-06 09:12:00
87,FR1915-896905,Dry,Breezy,30,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Regional,2024-04-10 18:13:00
88,BA1531-037701,Dry,Calm,3,British Airways,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-02-16 15:09:00
89,FR975-731330,Light,Very Windy,37,Ryanair,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Widebody,2024-06-17 00:28:00
90,U25262-800687,Light,Calm,5,easyJet,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-09-03 17:37:00
91,BA910-755024,Light,Breezy,8,British Airways,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-05-06 04:29:00
92,EI4418-590433,Light,Calm,1,Aer Lingus,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Narrowbody,2024-04-03 12:30:00
93,FR8443-637529,Dry,Breezy,7,Ryanair,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-12-13 11:38:00
94,U26404-333430,Moderate,Calm,5,easyJet,London Heathrow Airport,London,United Kingdom,London City Airport,London,United Kingdom,36,Narrowbody,2024-02-02 17:25:00
95,U28162-800081,Dry,Windy,4,easyJet,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Widebody,2024-12-10 10:14:00
96,U24927-830677,Light,Calm,0,easyJet,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Narrowbody,2024-06-18 17:57:00
97,EI1350-397910,Light,Breezy,1,Aer Lingus,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Widebody,2024-03-19 09:11:00
98,FR7166-080124,Dry,Breezy,32,Ryanair,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Widebody,2024-02-28 18:10:00
99,BA0744-278294,Moderate,Calm,9,British Airways,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-09-15 16:42:00
100,BA686-311089,Light,Calm,3,British Airways,Dublin Airport,Dublin,Ireland,London Heathrow Airport,London,United Kingdom,450,Narrowbody,2024-04-08 09:22:00
101,EI7155-304898,Moderate,Very Windy,24,Aer Lingus,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Regional,2024-03-26 13:36:00
102,EI3639-306392,Dry,Calm,3,Aer Lingus,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Widebody,2024-12-28 18:40:00
103,FR3183-510364,Light,Windy,9,Ryanair,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Narrowbody,2024-06-10 12:05:00
104,U21750-098916,Dry,Very Windy,33,easyJet,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-11-23 10:47:00
105,BA3261-396673,Light,Breezy,5,British Airways,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Widebody,2024-03-27 15:06:00
106,FR6835-668223,Light,Calm,2,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Regional,2024-11-01 00:12:00
107,BA7054-673932,Light,Breezy,2,British Airways,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Narrowbody,2024-08-19 12:27:00
108,EI5929-147398,Light,Calm,3,Aer Lingus,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-07-25 00:17:00
109,BA1066-555492,Dry,Very Windy,41,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Widebody,2024-01-18 13:59:00
110,FR8278-374698,Heavy,Breezy,49,Ryanair,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-01-23 21:07:00
111,EI4328-663107,Dry,Windy,0,Aer Lingus,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Widebody,2024-09-12 19:06:00
112,U28353-821941,Dry,Windy,3,easyJet,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody,2024-12-02 08:02:00
113,BA9277-212333,Dry,Very Windy,37,British Airways,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Regional,2024-04-20 16:34:00
114,FR3186-299239,Dry,Windy,3,Ryanair,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Regional,2024-04-12 18:54:00
115,BA5979-258919,Dry,Breezy,6,British Airways,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Regional,2024-02-04 05:56:00
116,EI8451-169991,Dry,Windy,6,Aer Lingus,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-11-25 13:20:00
117,BA1989-741486,Light,Breezy,5,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-10-16 17:47:00
118,EI3271-895773,Light,Breezy,5,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Widebody,2024-08-13 21:17:00
119,BA4742-034113,Dry,Calm,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Narrowbody,2024-11-28 21:06:00
120,U20288-469786,Dry,Calm,17,easyJet,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-11-27 14:45:00
121,EI8814-208586,Dry,Breezy,10,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Regional,2024-06-12 05:39:00
122,EI5807-938575,Light,Breezy,15,Aer Lingus,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody,2024-07-23 10:54:00
123,EI2013-188988,Light,Very Windy,8,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Regional,2024-12-10 15:13:00
124,U26375-237946,Dry,Breezy,0,easyJet,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Widebody,2024-05-05 03:24:00
125,BA4652-721164,Dry,Breezy,4,British Airways,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Narrowbody,2024-07-13 10:27:00
126,U22348-438365,Moderate,Breezy,4,easyJet,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-12-07 04:59:00
127,EI5567-065743,Dry,Calm,2,Aer Lingus,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Widebody,2024-08-13 23:45:00
128,FR4776-331789,Light,Calm,2,Ryanair,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Regional,2024-08-20 03:17:00
129,EI1302-323007,Dry,Very Windy,5,Aer Lingus,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-10-10 06:11:00
130,EI7821-087420,Moderate,Windy,0,Aer Lingus,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Regional,2024-01-27 18:52:00
131,EI8700-143798,Light,Very Windy,3,Aer Lingus,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Widebody,2024-06-29 23:40:00
132,FR0573-745295,Dry,Calm,5,Ryanair,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody,2024-07-27 16:10:00
133,EI8084-788937,Light,Breezy,5,Aer Lingus,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Widebody,2024-05-04 20:13:00
134,FR2217-284485,Light,Windy,8,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Widebody,2024-09-18 23:48:00
135,FR1882-551630,Moderate,Calm,8,Ryanair,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Widebody,2024-10-04 14:24:00
136,BA8733-151626,Light,Breezy,3,British Airways,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Regional,2024-02-23 13:33:00
137,U25799-123039,Dry,Windy,19,easyJet,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Regional,2024-05-15 21:03:00
138,EI4890-472819,Moderate,Windy,11,Aer Lingus,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Regional,2024-01-08 19:51:00
139,EI0927-648219,Light,Calm,8,Aer Lingus,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-07-07 18:36:00
140,EI0542-731813,Dry,Windy,4,Aer Lingus,Shannon Airport,Shannon,Ireland,Belfast International Airport,Belfast,United Kingdom,281,Narrowbody,2024-10-07 11:17:00
141,BA7643-434773,Light,Very Windy,35,British Airways,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Regional,2024-01-17 12:17:00
142,EI8205-031799,Dry,Breezy,2,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Widebody,2024-08-28 20:29:00
143,U22528-860157,Moderate,Calm,3,easyJet,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Regional,2024-08-15 13:29:00
144,EI3965-206803,Dry,Calm,0,Aer Lingus,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Regional,2024-10-03 10:41:00
145,BA4051-483544,Light,Calm,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Regional,2024-02-16 17:29:00
146,BA7595-709488,Dry,Breezy,5,British Airways,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-12-30 06:30:00
147,BA779-241586,Dry,Very Windy,40,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Narrowbody,2024-07-05 09:24:00
148,FR6360-037575,Heavy,Breezy,0,Ryanair,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Regional,2024-11-08 21:13:00
149,U28213-819575,Dry,Breezy,3,easyJet,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Widebody,2024-11-30 21:06:00
150,U28947-089673,Dry,Breezy,23,easyJet,London Heathrow Airport,London,United Kingdom,London City Airport,London,United Kingdom,36,Narrowbody,2024-11-03 09:35:00
151,EI9431-293247,Moderate,Calm,2,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Narrowbody,2024-10-21 15:25:00
152,BA5323-521366,Dry,Breezy,3,British Airways,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Narrowbody,2024-07-18 08:24:00
153,EI3476-333095,Light,Calm,7,Aer Lingus,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Narrowbody,2024-10-25 15:04:00
154,FR9814-624374,Moderate,Windy,44,Ryanair,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Regional,2024-12-01 21:14:00
155,U28419-311790,Dry,Breezy,9,easyJet,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Widebody,2024-02-20 13:27:00
156,U28888-465584,Light,Calm,33,easyJet,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Widebody,2024-05-28 12:41:00
157,U20118-302391,Dry,Calm,5,easyJet,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Regional,2024-04-23 23:30:00
158,BA1736-859300,Moderate,Breezy,4,British Airways,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Widebody,2024-09-21 01:42:00
159,FR3724-748179,Moderate,Breezy,37,Ryanair,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Widebody,2024-02-29 09:12:00
160,U27919-752041,Light,Calm,0,easyJet,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Widebody,2024-03-11 13:58:00
161,BA9990-582842,Light,Windy,4,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Regional,2024-06-07 07:27:00
162,FR4312-356490,Moderate,Breezy,21,Ryanair,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Widebody,2024-10-21 14:44:00
163,FR211-266236,Dry,Calm,1,Ryanair,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Narrowbody,2024-03-02 09:01:00
